days,pop_chronic,pop_chronic_flow,pop_2nd,pop_2nd_flow,pop_3rd,pop_3rd_flow,pop,pop_flow,pop9_flow,pop9,pop8_flow,pop8,pop7_flow,pop7,pop6_flow,pop6,pop5_flow,pop5,pop4_flow,pop4,pop3_flow,pop3,pop2_flow,pop2,pop1_flow,pop1
103.8538539,0.2,0.957096952,0.013444181,0.123163211,0.001,0.004785485,1.22E-06,-3.39E-05,4.79E-03,0.001,0.004785485,0.001,0.004785485,0.001,0.091900635,1.13E+00,4.66E+01,4.75E+00,1.24E+00,0.129705639,0.041228646,0.004615168,0.001801811,0.000218712,7.81E-05,0.0000138
104.02002,0.2,0.958896159,0.013009592,0.119318387,0.001,0.004794481,1.19E-06,-3.35E-05,4.79E-03,0.001,0.004794481,0.001,0.004794481,0.001,0.12098118,1.48E+00,4.5E+01,4.58E+00,1.2E+00,0.12527365,0.039976211,0.004470217,0.001759426,0.00021245,7.38E-05,0.0000134
104.1861862,0.2,0.960693745,0.012589413,0.115598264,0.001,0.004803469,1.16E-06,-3.3E-05,4.8E-03,0.001,0.004803469,0.001,0.004803469,0.001,0.159538026,1.94E+00,4.35E+01,4.41E+00,1.16E+00,0.120996477,0.038763578,0.004329942,0.001718236,0.000206372,6.96E-05,0.0000131
104.3523524,0.2,0.962489692,0.012183154,0.112000361,0.001,0.004812448,1.14E-06,-3.26E-05,4.81E-03,0.001,0.004812449,0.001,0.004812449,0.001,0.210644965,2.54E+00,4.21E+01,4.25E+00,1.12E+00,0.116868605,0.037589748,0.004194189,0.001678149,0.000200475,6.56E-05,0.0000128
104.5185185,0.2,0.964283982,0.011790343,0.108522517,0.001,0.00482142,1.11E-06,-3.2E-05,4.82E-03,0.001,0.00482142,0.001,0.00482142,0.001,0.278349671,3.31E+00,4.06E+01,4.1E+00,1.08E+00,0.112884716,0.036453798,0.004062811,0.001639071,0.000194751,6.18E-05,0.0000124
104.6846847,0.2,0.9660766,0.011410524,0.105162889,0.001,0.004830383,1.09E-06,-3.14E-05,4.83E-03,0.001,0.004830383,0.001,0.004830383,0.001,0.367999627,4.3E+00,3.93E+01,3.95E+00,1.05E+00,0.109039686,0.035354881,0.00393566,0.001600912,0.000189197,5.82E-05,0.0000121
104.8508509,0.2,0.967867528,0.011043259,0.10188748,0.001,0.004839338,1.06E-06,-3.08E-05,4.84E-03,0.001,0.004839338,0.001,0.004839338,0.001,0.486631688,5.55E+00,3.79E+01,3.81E+00,1.01E+00,0.105328576,0.034292231,0.003812598,0.00156358,0.000183806,5.47E-05,0.0000118
105.017017,0.2,0.969656748,0.010688124,0.098713733,0.001,0.004848284,1.04E-06,-3.01E-05,4.85E-03,0.001,0.004848284,0.001,0.004848284,0.001,0.643521609,7.12E+00,3.66E+01,3.67E+00,9.8E-01,0.101746628,0.033265159,0.003693491,0.001526985,0.000178574,5.15E-05,0.0000115
105.1831832,0.2,0.971444245,0.010344708,0.095640656,0.001,0.004857221,1.01E-06,-2.93E-05,4.86E-03,0.001,0.004857221,0.001,0.004857221,0.001,0.850757601,9.04E+00,3.54E+01,3.54E+00,9.48E-01,0.098289253,0.032273055,0.003578207,0.001491036,0.000173495,4.84E-05,0.0000112
105.3493493,0.2,0.973230001,0.010012613,0.092665759,0.001,0.00486615,9.92E-07,-2.85E-05,4.87E-03,0.001,0.00486615,0.001,0.00486615,0.001,1.124121164,1.14E+01,3.42E+01,3.41E+00,9.17E-01,0.09495203,0.031315392,0.003466619,0.001455645,0.000168567,4.55E-05,0.0000109
105.5155155,0.2,0.975013999,0.009691456,0.089786769,0.001,0.00487507,9.69E-07,-2.77E-05,4.88E-03,0.001,0.00487507,0.001,0.00487507,0.001,1.484008953,1.41E+01,3.3E+01,3.29E+00,8.87E-01,0.091730698,0.030391721,0.003358606,0.001420724,0.000163783,4.28E-05,0.0000106
